,Track,Racer,Rank,Ghost,Status
1,C1,Fdzierva,1,0,
2,C1,"Ben Snel",2,0,
3,C1,"Zak McKracken",3,0,
4,C1,Trx,4,0,
5,C1,KHR,5,0,
6,C1,JTK,6,0,
7,C1,Petmorgo,7,0,
8,C1,Charles,8,0,
9,C1,PCK,9,0,
10,C2,Fdzierva,1,0,
11,C2,"Zak McKracken",2,0,
12,C2,"Ben Snel",3,0,
13,C2,"Roy Wiegerinck",4,0,
14,C2,"Thijs Wiegerinck",5,0,
15,C2,"Bonzai Joe",6,0,
16,C2,KHR,7,0,
17,C2,JTK,8,0,
18,C2,Trx,9,0,
19,C2,Adam,10,0,
20,C2,Petmorgo,11,0,
21,C3,"Roy Wiegerinck",1,0,
22,C3,"Bonzai Joe",2,0,
23,C3,"Ben Snel",3,0,
24,C3,"Zak McKracken",4,0,
25,C3,Petmorgo,5,0,
26,C3,"Hot Shot",6,0,
27,C4,"Roy Wiegerinck",1,0,
28,C4,"Ben Snel",2,0,
29,C4,"Bonzai Joe",2,0,
30,C4,"Zak McKracken",4,0,
31,C4,KHR,5,0,
32,C4,JTK,6,0,
33,C4,"The Never Sleeping",7,0,
34,C5,"Roy Wiegerinck",1,0,
35,C5,"Zak McKracken",2,0,
36,C5,"Ben Snel",3,0,
37,C5,"Sylvain Chabert",4,0,
38,C5,Nathan,5,0,
39,C5,Trx,6,0,
40,C5,KHR,7,0,
41,C6,"Roy Wiegerinck",1,0,
42,C6,"Sylvain Chabert",2,0,
43,C6,Argammon,3,0,
44,C6,Gus,4,0,
45,C6,"Zak McKracken",5,0,
46,C6,"Paulo Ribeiro",6,0,
47,C6,"Ben Snel",7,0,
48,C6,Brambi,8,0,
49,C6,Trx,9,0,
50,C6,Nick,10,0,
51,C7,"Roy Wiegerinck",1,0,
52,C7,"Zak McKracken",2,0,
53,C7,"Paulo Ribeiro",3,0,
54,C7,"Ben Snel",4,0,
55,C7,Argammon,5,0,
56,C7,Ravager,6,0,
57,C7,Tangent,7,0,
58,C7,Trx,8,0,
59,C7,Idiot,9,0,
60,C8,"Roy Wiegerinck",1,0,
61,C8,Bismarck,2,0,
62,C8,"Ben Snel",3,0,
63,C8,"Bonzai Joe",4,0,
64,C8,"Zak McKracken",5,0,
65,C8,Iribaar,6,0,
66,C8,Idiot,7,0,
67,C8,"Paulo Ribeiro",8,0,
68,C8,Trx,9,0,
69,C9,Bismarck,1,0,
70,C9,Argammon,2,0,
71,C9,"Bonzai Joe",3,0,
72,C9,"Ben Snel",4,0,
73,C9,"Zak McKracken",5,0,
74,C9,Juank_23,6,0,
75,C9,"Paulo Ribeiro",7,0,
76,C9,Idiot,8,0,
77,C9,Trx,9,0,
78,C9,Iribaar,10,0,
79,C10,Argammon,1,0,
80,C10,"Roy Wiegerinck",2,0,
81,C10,Bismarck,3,0,
82,C10,Usrin,4,0,
83,C10,"Bonzai Joe",5,0,
84,C10,"Pershing II",6,0,
85,C10,"Ben Snel",7,0,
86,C10,Dario,8,0,
87,C10,"Zak McKracken",9,0,
88,C10,"Skid Vicious",10,1,
89,C10,J-J,11,0,
90,C10,Juank_23,12,0,
91,C10,Ravager,13,0,
92,C10,Idiot,14,0,
93,C10,"Herr Otto Partz",15,1,
94,C10,Trx,16,0,
95,C10,"Joe Stallin",17,1,
96,C10,"Helen Wheels",18,1,
97,C10,"Bernie Rubber",19,1,
98,C10,"Cherry Chassis",20,1,
99,C11,"Roy Wiegerinck",1,0,
100,C11,"Bonzai Joe",2,0,
101,C11,"Pershing II",3,0,
102,C11,Argammon,4,0,
103,C11,Bismarck,5,0,
104,C11,"Ben Snel",6,0,
105,C11,Dario,7,0,
106,C11,Usrin,8,0,
107,C11,Juank_23,9,0,
108,C11,"Zak McKracken",10,0,
109,C11,"Rui Figueiredo",11,0,
110,C11,Roberto,12,0,
111,C11,"Skid Vicious",13,1,
112,C11,"Herr Otto Partz",14,1,
113,C11,"Helen Wheels",15,1,
114,C11,"Joe Stallin",16,1,
115,C11,"Cherry Chassis",17,1,
116,C11,"Bernie Rubber",18,1,
117,C12,"Roy Wiegerinck",1,0,
118,C12,Argammon,2,0,
119,C12,"Bonzai Joe",3,0,
120,C12,"Ben Snel",4,0,
121,C12,Usrin,5,0,
122,C12,"Akoss Poo",6,0,
123,C12,Bismarck,7,0,
124,C12,"Pershing II",8,0,
125,C12,Dario,9,0,
126,C12,"Fred Merc",10,0,
127,C12,"Judge Greg",11,0,
128,C12,"Skid Vicious",12,1,
129,C12,"Helen Wheels",13,1,
130,C12,"Joe Stallin",14,1,
131,C12,"Zak McKracken",15,0,
132,C12,Eszter,16,0,
